Company,Title,Location,Posted Date,Ethics,Visa?,Apply URL,Notes
N26,Senior Site Reliability Engineer - AI Platform,Barcelona,2026-02-03,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7180173?gh_jid=7180173,"Barcelona tech hub, digital bank."
N26,Senior Site Reliability Engineer - AI Platform,Berlin,2026-02-03,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/6699276?gh_jid=6699276,"Barcelona tech hub, digital bank."
N26,Senior Reporting Data Analyst (Fluent French),Berlin,2026-01-26,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7543954?gh_jid=7543954,"Barcelona tech hub, digital bank."
N26,Senior Product Manager - Onboarding & KYC,Berlin,2026-01-15,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7396782?gh_jid=7396782,"Barcelona tech hub, digital bank."
Veepee,Sourcing Data Analyst / Data Referent (W/M/X) - Permanent,Barcelona,2025-12-09,neutral,Likely (company sponsors),https://jobs.lever.co/veepee/3de5dd0c-aff2-4db6-ba58-820582e41713,"Tech hub in Barcelona, strong data science team across EU."
Veepee,Senior Data Scientist,Paris,2025-12-02,neutral,Likely (company sponsors),https://jobs.lever.co/veepee/fce688c6-cae6-48ac-b315-afd4e68451ff,"Tech hub in Barcelona, strong data science team across EU."
Veepee,Data Scientist,Barcelona,2025-11-03,neutral,Likely (company sponsors),https://jobs.lever.co/veepee/45005f0d-e9e0-4b80-989b-4adcec560934,"Tech hub in Barcelona, strong data science team across EU."
Veepee,Data Scientist,Paris,2025-11-03,neutral,Likely (company sponsors),https://jobs.lever.co/veepee/1490a34b-351a-4bfb-8b80-97419e9d2dcb,"Tech hub in Barcelona, strong data science team across EU."
Veepee,Data Analyst,Barcelona,2026-01-16,neutral,Likely (company sponsors),https://jobs.lever.co/veepee/d1d43bff-124f-4aa1-8804-242e5fb52258,"Tech hub in Barcelona, strong data science team across EU."
Veepee,BI Developer,Barcelona,2026-01-26,neutral,Likely (company sponsors),https://jobs.lever.co/veepee/d3f3fd15-bd87-445e-b193-e1b10a9094fd,"Tech hub in Barcelona, strong data science team across EU."
Veepee,BI Developer,Paris,2026-01-26,neutral,Likely (company sponsors),https://jobs.lever.co/veepee/6064993e-e4a2-46bf-92d7-30515396df1b,"Tech hub in Barcelona, strong data science team across EU."
Revolut,Data Scientist - Risk,"Barcelona, Spain",2026-02-04,neutral,Likely (company sponsors),https://www.revolut.com/en-US/careers/position/data-scientist-risk-46917c00-41ca-4c82-be38-00894cc2c136/,"Barcelona office, aggressive hiring in data/ML. Manual check required."
Adevinta,Senior Data Scientist,"Barcelona, Spain",2026-02-04,neutral,Likely (company sponsors),https://adevinta.com/jobs/senior-data-scientist-4/,"Large data org, owns multiple marketplace brands"
Veepee,Senior Data Scientist,"Barcelona, Spain",2026-02-04,neutral,Likely (company sponsors),https://jobs.lever.co/veepee/8f314b01-db04-4a89-b4a8-632a136e61df,"Tech hub in Barcelona, strong data science team across EU."
HP,AI Lab - Machine Learning Engineer,"Sant Cugat del Vallès, Catalonia, Spain",2025-10-10,neutral,Likely (company sponsors),https://apply.hp.com/careers/job/28359629,AI Lab in Sant Cugat del Vallès near Barcelona. Manual check required.
Microsoft,Senior Data and Applied Scientist,"Barcelona, Spain",2026-01-28,neutral,Likely (company sponsors),https://apply.careers.microsoft.com/careers/job/1970393556640568,"Multinational infrastructure, established visa sponsorship. Barcelona office. Jobs scraped via email alerts."
Microsoft,Senior Machine Learning Applied Scientist - Languages & Intelligence,"Barcelona, Spain",2026-02-02,neutral,Likely (company sponsors),https://apply.careers.microsoft.com/careers/job/1970393556745478,"Multinational infrastructure, established visa sponsorship. Barcelona office. Jobs scraped via email alerts."
Microsoft,Principal Scientist - GSL,"Barcelona, Spain",2026-01-21,neutral,Likely (company sponsors),https://apply.careers.microsoft.com/careers/job/1970393556744767,"Multinational infrastructure, established visa sponsorship. Barcelona office. Jobs scraped via email alerts."
Amazon,Data Analyst Junior- 3PL Control Tower,"Barcelona, Catalonia, ESP",2025-09-26,kinda_evil,Likely (company sponsors),https://www.amazon.jobs/en/jobs/3093708/data-analyst-junior-3pl-control-tower,"Massive DS hiring, established visa process. Barcelona office includes AWS and retail teams."
Amazon,"2026 Applied Scientist Intern, Amazon University Talent Acquisition","Barcelona, Catalonia, ESP",2025-11-03,kinda_evil,Likely (company sponsors),https://www.amazon.jobs/en/jobs/3120058/2026-applied-scientist-intern-amazon-university-talent-acquisition,"Massive DS hiring, established visa process. Barcelona office includes AWS and retail teams."
Amazon,"Sr. Applied Scientist / Sr. ML scientist, EU Prime and Marketing Analytics & Science (PRIMAS)","Barcelona, Catalonia, ESP",2026-01-13,kinda_evil,Likely (company sponsors),https://www.amazon.jobs/en/jobs/3157828/sr-applied-scientist-sr-ml-scientist-eu-prime-and-marketing-analytics-science-primas,"Massive DS hiring, established visa process. Barcelona office includes AWS and retail teams."
Wallapop,Senior Product Manager - Growth,Barcelona,2026-02-04,good,Yes (job posting),https://job-boards.eu.greenhouse.io/wallapop/jobs/4774660101,Strong ML focus for recommendations
